_id,asset_allocation,asset_allocation_id,asset_currency,asset_value,created
1,Equities,39958838,USD,217.06,2025-02-25T09:18:34.158728+00:00
1,Commodities,83197857,GBP,159.05,2025-05-18T09:18:34.162165+00:00
2,Cash,22575562,USD,231.12,2025-03-06T09:18:34.162165+00:00
2,Cash,85329037,USD,321.75,2025-02-22T09:18:34.163356+00:00
3,Crypto,66306997,USD,181.15,2025-04-17T09:18:34.163356+00:00
3,Commodities,10872248,USD,212.27,2025-04-09T09:18:34.163356+00:00
4,Equities,30868105,USD,366.98,2025-04-09T09:18:34.163356+00:00
4,Equities,22448136,JPY,26321.19,2025-04-08T09:18:34.163356+00:00
4,Equities,15831819,JPY,36869.47,2025-04-04T09:18:34.163356+00:00
4,Equities,84093639,EUR,315.57,2025-03-04T09:18:34.163356+00:00
5,Bonds,87490893,USD,213.07,2025-05-17T09:18:34.163356+00:00
6,Commodities,40587988,EUR,342.45,2025-04-23T09:18:34.163356+00:00
7,Cash,61019678,EUR,167.14,2025-04-06T09:18:34.163356+00:00
7,Equities,59684848,EUR,139.09,2025-04-18T09:18:34.163356+00:00
7,Commodities,96977837,GBP,160.91,2025-05-01T09:18:34.163356+00:00
7,Crypto,42857966,USD,182.78,2025-04-18T09:18:34.163356+00:00
8,Crypto,39476249,EUR,317.89,2025-05-15T09:18:34.163356+00:00
8,Real Estate,14308421,EUR,241.7,2025-05-14T09:18:34.163356+00:00
9,Equities,86125617,EUR,139.45,2025-03-20T09:18:34.163356+00:00
9,Real Estate,96282117,JPY,18285.95,2025-05-05T09:18:34.163356+00:00
10,Equities,85345555,AUD,350.41,2025-03-09T09:18:34.163356+00:00
10,Real Estate,88320463,JPY,32687.91,2025-05-05T09:18:34.163356+00:00
10,Crypto,76238574,GBP,263.37,2025-05-08T09:18:34.163356+00:00
10,Equities,94214382,USD,336.01,2025-03-29T09:18:34.163356+00:00
11,Crypto,18526544,JPY,22105.91,2025-03-24T09:18:34.163356+00:00
11,Crypto,43744231,AUD,344.24,2025-05-21T09:18:34.163356+00:00
12,Equities,82070937,EUR,305.08,2025-04-09T09:18:34.163356+00:00
12,Equities,49392920,JPY,27795.79,2025-05-22T09:18:34.163356+00:00
12,Crypto,77187530,USD,282.69,2025-05-09T09:18:34.163356+00:00
12,Crypto,95758349,AUD,446.49,2025-05-03T09:18:34.163356+00:00
14,Bonds,31682744,AUD,542.1,2025-03-16T09:18:34.163356+00:00
14,Cash,90388981,EUR,256.78,2025-05-08T09:18:34.163356+00:00
15,Crypto,51273847,USD,132.24,2025-03-11T09:18:34.164617+00:00
16,Cash,21496211,JPY,43584.56,2025-03-15T09:18:34.164617+00:00
16,Equities,27232410,JPY,46724.37,2025-05-01T09:18:34.164617+00:00
16,Bonds,80823176,AUD,394.92,2025-04-25T09:18:34.164617+00:00
16,Crypto,36998038,EUR,241.33,2025-02-26T09:18:34.164617+00:00
16,Commodities,60119651,JPY,45590.74,2025-03-26T09:18:34.164617+00:00
17,Equities,43273328,USD,133.0,2025-05-20T09:18:34.164617+00:00
17,Commodities,84346088,USD,198.56,2025-05-22T09:18:34.164617+00:00
18,Cash,94705205,GBP,184.34,2025-05-18T09:18:34.164617+00:00
18,Bonds,19510312,AUD,343.55,2025-02-26T09:18:34.164617+00:00
18,Real Estate,38754377,AUD,314.22,2025-03-10T09:18:34.164617+00:00
19,Crypto,73440831,USD,223.08,2025-03-31T09:18:34.164617+00:00
19,Equities,22660194,GBP,165.9,2025-04-07T09:18:34.164617+00:00
19,Real Estate,65177213,JPY,29821.39,2025-05-16T09:18:34.164617+00:00
20,Crypto,97705310,GBP,159.09,2025-04-09T09:18:34.164617+00:00
20,Commodities,24665841,USD,223.42,2025-03-15T09:18:34.164617+00:00
20,Crypto,28814949,JPY,28403.71,2025-03-24T09:18:34.164617+00:00
20,Real Estate,20117988,JPY,43392.53,2025-03-13T09:18:34.164617+00:00
21,Equities,16789850,AUD,339.67,2025-05-11T09:18:34.164617+00:00
21,Real Estate,32321899,JPY,23770.26,2025-04-25T09:18:34.164617+00:00
21,Crypto,17869910,USD,172.37,2025-04-03T09:18:34.164617+00:00
21,Crypto,71070189,EUR,163.65,2025-03-12T09:18:34.164617+00:00
22,Crypto,75319931,USD,223.11,2025-04-25T09:18:34.164617+00:00
