_id,asset_value,confidence,risk_tolerance,composure,impulsivity,impact_desire
1,376.11,0.55,0.51,0.565,0.161,0.999
2,552.87,0.486,0.474,0.439,0.818,0.048
3,393.42,0.565,0.568,0.578,0.832,0.977
4,63873.21,0.652,0.625,0.642,0.507,0.407
5,213.07,0.477,0.483,0.515,0.006,0.871
6,342.45,0.477,0.487,0.603,0.287,0.782
7,649.92,0.658,0.649,0.517,0.617,0.567
8,559.5899999999999,0.577,0.536,0.456,0.981,0.738
9,18425.4,0.453,0.484,0.374,0.632,0.879
10,33637.7,0.554,0.532,0.611,0.26,0.404
11,22450.15,0.454,0.461,0.521,0.634,0.327
12,28830.050000000003,0.453,0.5,0.478,0.54,0.668
14,798.88,0.309,0.39,0.356,0.107,0.762
15,132.24,0.328,0.418,0.578,0.761,0.798
16,136535.91999999998,0.444,0.461,0.485,0.541,0.436
17,331.56,0.399,0.45,0.466,0.963,0.818
18,842.1100000000001,0.531,0.513,0.556,0.342,0.12
19,30210.37,0.409,0.446,0.493,0.633,0.544
20,72178.75,0.359,0.397,0.457,0.932,0.006
21,24445.949999999997,0.647,0.606,0.511,0.103,0.325
22,927.34,0.477,0.502,0.519,0.937,0.366
23,367.34000000000003,0.507,0.48,0.616,0.688,0.396
24,892.44,0.358,0.463,0.524,0.068,0.695
25,382.36,0.446,0.432,0.574,0.301,0.389
26,1732.3000000000002,0.511,0.471,0.474,0.708,0.449
27,448.79,0.385,0.454,0.395,0.067,0.238
28,44211.31,0.538,0.55,0.507,0.582,0.373
29,693.52,0.44,0.477,0.479,0.346,0.227
30,27058.69,0.471,0.498,0.554,0.621,0.073
31,487.72,0.44,0.458,0.374,0.046,0.603
32,1437.6200000000001,0.685,0.603,0.666,0.872,0.668
33,363.58000000000004,0.499,0.501,0.49,0.973,0.619
34,281.56,0.394,0.406,0.432,0.969,0.463
35,504.75,0.582,0.587,0.472,0.75,0.38
36,26788.19,0.378,0.41,0.352,0.13,0.863
37,540.88,0.521,0.49,0.558,0.758,0.519
38,742.53,0.304,0.353,0.426,0.025,0.479
39,516.91,0.367,0.419,0.369,0.022,0.026
40,156.93,0.52,0.497,0.43,0.324,0.341
41,72229.84,0.574,0.527,0.509,0.489,0.38
42,40525.530000000006,0.517,0.519,0.607,0.77,0.399
43,30585.31,0.488,0.499,0.48,0.683,0.58
44,912.51,0.47,0.464,0.398,0.446,0.534
45,17376.19,0.352,0.382,0.426,0.274,0.608
46,37404.66,0.428,0.457,0.455,0.997,0.765
47,74715.28,0.454,0.424,0.32,0.426,0.813
48,616.51,0.606,0.532,0.539,0.451,0.718
49,512.24,0.534,0.502,0.5,0.164,0.956
50,41332.100000000006,0.324,0.37,0.471,0.795,0.018
51,31359.14,0.532,0.532,0.624,0.694,0.196
52,29101.59,0.461,0.517,0.552,0.221,0.008
53,20382.2,0.432,0.478,0.457,0.082,0.647
54,950.26,0.561,0.538,0.458,0.68,0.898
55,48589.55,0.603,0.572,0.696,0.655,0.243
56,48299.060000000005,0.593,0.535,0.541,0.273,0.927
57,20499.1,0.416,0.441,0.467,0.951,0.06
59,152.05,0.533,0.533,0.525,0.432,0.352
60,443.11,0.598,0.543,0.53,0.944,0.101
61,1017.42,0.452,0.482,0.446,0.42,0.486
62,210.11,0.481,0.533,0.46,0.639,0.257
63,382.2,0.389,0.419,0.454,0.398,0.285
64,66141.48,0.38,0.428,0.42,0.274,0.307
65,435.79999999999995,0.581,0.578,0.49,0.984,0.803
66,57159.51,0.636,0.583,0.561,0.409,0.539
67,498.05,0.493,0.502,0.482,0.894,0.311
68,72554.83,0.6,0.571,0.63,0.23,0.61
69,592.22,0.536,0.528,0.355,0.213,0.716
70,93507.55,0.435,0.432,0.54,0.031,0.273
71,27250.699999999997,0.536,0.526,0.589,0.652,0.414
