_id,confidence,risk_tolerance,composure,impulsivity,impact_desire
1,0.55,0.51,0.565,0.161,0.999
2,0.486,0.474,0.439,0.818,0.048
3,0.565,0.568,0.578,0.832,0.977
4,0.652,0.625,0.642,0.507,0.407
5,0.477,0.483,0.515,0.006,0.871
6,0.477,0.487,0.603,0.287,0.782
7,0.658,0.649,0.517,0.617,0.567
8,0.577,0.536,0.456,0.981,0.738
9,0.453,0.484,0.374,0.632,0.879
10,0.554,0.532,0.611,0.26,0.404
11,0.454,0.461,0.521,0.634,0.327
12,0.453,0.5,0.478,0.54,0.668
14,0.309,0.39,0.356,0.107,0.762
15,0.328,0.418,0.578,0.761,0.798
16,0.444,0.461,0.485,0.541,0.436
17,0.399,0.45,0.466,0.963,0.818
18,0.531,0.513,0.556,0.342,0.12
19,0.409,0.446,0.493,0.633,0.544
20,0.359,0.397,0.457,0.932,0.006
21,0.647,0.606,0.511,0.103,0.325
22,0.477,0.502,0.519,0.937,0.366
23,0.507,0.48,0.616,0.688,0.396
24,0.358,0.463,0.524,0.068,0.695
25,0.446,0.432,0.574,0.301,0.389
26,0.511,0.471,0.474,0.708,0.449
27,0.385,0.454,0.395,0.067,0.238
28,0.538,0.55,0.507,0.582,0.373
29,0.44,0.477,0.479,0.346,0.227
30,0.471,0.498,0.554,0.621,0.073
31,0.44,0.458,0.374,0.046,0.603
32,0.685,0.603,0.666,0.872,0.668
33,0.499,0.501,0.49,0.973,0.619
34,0.394,0.406,0.432,0.969,0.463
35,0.582,0.587,0.472,0.75,0.38
36,0.378,0.41,0.352,0.13,0.863
37,0.521,0.49,0.558,0.758,0.519
38,0.304,0.353,0.426,0.025,0.479
39,0.367,0.419,0.369,0.022,0.026
40,0.52,0.497,0.43,0.324,0.341
41,0.574,0.527,0.509,0.489,0.38
42,0.517,0.519,0.607,0.77,0.399
43,0.488,0.499,0.48,0.683,0.58
44,0.47,0.464,0.398,0.446,0.534
45,0.352,0.382,0.426,0.274,0.608
46,0.428,0.457,0.455,0.997,0.765
47,0.454,0.424,0.32,0.426,0.813
48,0.606,0.532,0.539,0.451,0.718
49,0.534,0.502,0.5,0.164,0.956
50,0.324,0.37,0.471,0.795,0.018
51,0.532,0.532,0.624,0.694,0.196
52,0.461,0.517,0.552,0.221,0.008
53,0.432,0.478,0.457,0.082,0.647
54,0.561,0.538,0.458,0.68,0.898
55,0.603,0.572,0.696,0.655,0.243
56,0.593,0.535,0.541,0.273,0.927
57,0.416,0.441,0.467,0.951,0.06
59,0.533,0.533,0.525,0.432,0.352
60,0.598,0.543,0.53,0.944,0.101
61,0.452,0.482,0.446,0.42,0.486
62,0.481,0.533,0.46,0.639,0.257
63,0.389,0.419,0.454,0.398,0.285
64,0.38,0.428,0.42,0.274,0.307
65,0.581,0.578,0.49,0.984,0.803
66,0.636,0.583,0.561,0.409,0.539
67,0.493,0.502,0.482,0.894,0.311
68,0.6,0.571,0.63,0.23,0.61
69,0.536,0.528,0.355,0.213,0.716
70,0.435,0.432,0.54,0.031,0.273
71,0.536,0.526,0.589,0.652,0.414
72,0.654,0.623,0.437,0.369,0.122
73,0.496,0.541,0.478,0.864,0.181
74,0.656,0.638,0.54,0.473,0.681
75,0.238,0.381,0.311,0.968,0.181
76,0.582,0.535,0.486,0.186,0.525
77,0.509,0.532,0.437,0.869,0.709
78,0.47,0.485,0.593,0.777,0.107
79,0.509,0.572,0.56,0.771,0.567
80,0.301,0.337,0.497,0.845,0.257
81,0.478,0.459,0.535,0.761,0.963
82,0.536,0.507,0.447,0.626,0.484
83,0.648,0.54,0.528,0.131,0.806
84,0.448,0.448,0.509,0.033,0.55
85,0.419,0.421,0.394,0.921,0.043
86,0.45,0.469,0.523,0.617,0.633
87,0.592,0.574,0.522,0.797,0.951
88,0.533,0.579,0.491,0.482,0.602
89,0.447,0.491,0.521,0.117,0.819
90,0.551,0.519,0.547,0.125,0.884
91,0.51,0.48,0.482,0.686,0.228
92,0.597,0.583,0.608,0.43,0.212
93,0.43,0.411,0.407,0.201,0.611
94,0.467,0.532,0.524,0.492,0.411
95,0.461,0.508,0.52,0.064,0.84
96,0.354,0.383,0.423,0.582,0.9
97,0.53,0.469,0.531,0.269,0.353
98,0.526,0.559,0.435,0.798,0.237
99,0.501,0.497,0.556,0.31,0.781
100,0.477,0.521,0.48,0.455,0.275
101,0.358,0.353,0.412,0.012,0.823
102,0.458,0.453,0.546,0.072,0.424
